species.watershed,Watershed_name,Genus_spp,numyears,percyears,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,trend,classification
eupato_altis.4A,4A,eupato_altis,31,1,0.640592006524916,0.1875,0.06666666666666667,0.047322364103480605,5,0,Recurrent
euphor_cyath.4A,4A,euphor_cyath,31,0.26,0.05148761028667245,0.4375,0.06666666666666667,0.08314230445910545,9,0,Random
euphor_margi.4A,4A,euphor_margi,31,0.6799999999999999,0.30337022879060743,0.5625,0.8,0.8484602330104745,16,0,Random
euphor_missu.4A,4A,euphor_missu,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
euphor_serpe.4A,4A,euphor_serpe,31,0.13,0.12381749876088588,0.25,0,0.047322364103480605,5,0,Recurrent
euphor_spath.4A,4A,euphor_spath,31,0.77,0.9226879138461672,0.8125,0.7333333333333333,0.5340872265296414,11,0,Random
hierac_longi.4A,4A,hierac_longi,31,0.35,2.918006686601915e-4,0.6875,0,NA,9,-1,Decreasing
hybant_verti.4A,4A,hybant_verti,31,0.87,0.0421253835255355,0.625,0.2,NA,9,-1,Decreasing
koeler_macra.4A,4A,koeler_macra,31,1,0.24735482306428383,0.1875,0,6.487325970637214e-5,2,0,Recurrent
lesped_capit.4A,4A,lesped_capit,31,1,0.12381749876088588,0.25,0,1.9998841638841e-7,1,0,Recurrent
liatri_punct.4A,4A,liatri_punct,31,0.61,2.6574051326725527e-5,1,0.2,NA,3,-1,Decreasing
linum_sulca.4A,4A,linum_sulca,31,0.87,0.5450438219949827,0.9375,0.8,0.510929583565928,7,0,Random
lithos_occid.4A,4A,lithos_occid,31,0.55,6.427402391033742e-4,0.875,0.2,NA,6,-1,Decreasing
lomati_foeni.4A,4A,lomati_foeni,31,0.94,8.508286324362016e-4,0.625,0,NA,5,-1,Decreasing
mimosa_quadr.4A,4A,mimosa_quadr,31,1,0.018164489689699026,1,0.6,NA,6,-1,Decreasing
mirabi_linea.4A,4A,mirabi_linea,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
muhlen_cuspi.4A,4A,muhlen_cuspi,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
opunti_macro.4A,4A,opunti_macro,31,1,0.9999999999999997,0.5625,0.5333333333333333,0.19248910452693918,13,0,Random
oxalis_stric.4A,4A,oxalis_stric,31,0.71,0.012764441573415098,0.9375,0.4666666666666667,NA,3,-1,Decreasing
oxalis_viola.4A,4A,oxalis_viola,31,0.5800000000000001,0.37829294350114534,0.6875,0.4666666666666667,0.7625647494075237,17,0,Random
packer_platt.4A,4A,packer_platt,31,0.74,0.0028758670616075917,1,0.4666666666666667,NA,6,-1,Decreasing
panicu_virga.4A,4A,panicu_virga,31,1,0.3717703175791154,0.625,0.4,1.3335750775849813e-5,4,0,Recurrent
pediom_escul.4A,4A,pediom_escul,31,0.84,0.937189201292317,0.875,0.8,0.1672182308522738,7,0,Random
pediom_tenui.4A,4A,pediom_tenui,31,1,0.0017018576035889687,0.9375,0.3333333333333333,NA,6,-1,Decreasing
physal_pumil.4A,4A,physal_pumil,31,1,0.9999999999999997,0.3125,0.26666666666666666,0.21407180937964346,11,0,Random
physal_virgi.4A,4A,physal_virgi,31,0.29000000000000004,0.012764441573415098,0.0625,0.5333333333333333,NA,2,1,Increasing
planta_patag.4A,4A,planta_patag,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
poa_prate.4A,4A,poa_prate,31,1,1.6335193877090986e-4,0.875,0.13333333333333333,NA,4,-1,Decreasing
ratibi_colum.4A,4A,ratibi_colum,31,1,0.4938029646320821,0.125,0,0.6704940806325976,4,0,Random
rhus_glabr.4A,4A,rhus_glabr,31,1,0.016999777502603453,0.125,0.6,NA,8,1,Increasing
rosa_arkan.4A,4A,rosa_arkan,31,1,0.8939812654690358,0.6875,0.6,0.01882099292415999,9,0,Recurrent
ruelli_humil.4A,4A,ruelli_humil,31,1,0.9999999999999999,0.0625,0,0.6035755086858975,2,0,Random
salvia_azure.4A,4A,salvia_azure,31,1,0.9999999999999997,0.6875,0.6666666666666666,0.009884131621000238,8,0,Recurrent
schiza_scopa.4A,4A,schiza_scopa,31,1,0.005769340530798479,0.6875,0.13333333333333333,NA,5,-1,Decreasing
setari_pumil.4A,4A,setari_pumil,31,0.22999999999999998,0.01307691769989149,0.4375,0,NA,5,-1,Decreasing
sisyri_campe.4A,4A,sisyri_campe,31,0.94,0.9999999999999998,0.9375,0.9333333333333333,0.6704940806325976,4,0,Random
solanu_carol.4A,4A,solanu_carol,31,1,0.36899585542689983,0.25,0.06666666666666667,0.04834969544775515,6,0,Recurrent
solida_altis.4A,4A,solida_altis,31,1,3.457576538813301e-5,0.125,0.9333333333333333,NA,4,1,Increasing
solida_misso.4A,4A,solida_misso,31,1,0.30337022879060743,0.4375,0.2,0.1421962667157867,11,0,Random
solida_rigid.4A,4A,solida_rigid,31,0.97,0.9999999999999997,0.5625,0.5333333333333333,0.00952725208520462,9,0,Recurrent
sorgha_nutan.4A,4A,sorgha_nutan,31,1,0.7137617291360441,0.25,0.13333333333333333,3.451392902386525e-4,4,0,Recurrent
spiran_verna.4A,4A,spiran_verna,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
sporob_compo.4A,4A,sporob_compo,31,1,5.338986932222854e-4,0.9375,0.26666666666666666,NA,3,-1,Decreasing
sporob_heter.4A,4A,sporob_heter,31,1,1.9070231506884455e-7,1,0,NA,1,-1,Decreasing
sympho_orbic.4A,4A,sympho_orbic,31,1,0.8211111546026745,0.5625,0.6666666666666666,0.004828185087321806,8,0,Recurrent
symphy_erico.4A,4A,symphy_erico,31,1,1.6335193877090986e-4,0.875,0.13333333333333333,NA,4,-1,Decreasing
symphy_oblon.4A,4A,symphy_oblon,31,1,0.2601470231694908,0.375,0.13333333333333333,0.1835045895181674,10,0,Random
symphy_seric.4A,4A,symphy_seric,31,1,0.14193493503497973,0.4375,0.13333333333333333,0.10767605225207548,10,0,Random
tragia_beton.4A,4A,tragia_beton,31,1,0.12381749876088588,0.25,0,0.005854677406542337,4,0,Recurrent
verben_stric.4A,4A,verben_stric,31,0.55,0.007129770985317564,0.8125,0.26666666666666666,NA,7,-1,Decreasing
vernon_baldw.4A,4A,vernon_baldw,31,1,NA,NA,NA,NA,0,NA,Invariant
acalyp_virgi.4B,4B,acalyp_virgi,31,0.65,0.17099051982691332,0.5,0.8,0.46912551414965753,14,0,Random
achill_mille.4B,4B,achill_mille,31,1,0.9999999999999998,0.0625,0.06666666666666667,0.6704940806325976,4,0,Random
ambros_psilo.4B,4B,ambros_psilo,31,1,0.8430306226434657,0.5,0.4,0.10791625276542875,12,0,Random
amorph_canes.4B,4B,amorph_canes,31,1,0.4938029646320821,0.125,0,0.6704940806325976,4,0,Random
androp_gerar.4B,4B,androp_gerar,31,1,0.005627304907732369,0.5,0,NA,3,-1,Decreasing
andros_occid.4B,4B,andros_occid,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
antenn_negle.4B,4B,antenn_negle,31,0.26,0.005627304907732369,0.5,0,NA,3,-1,Decreasing
artemi_ludov.4B,4B,artemi_ludov,31,1,0.10050954088451342,0.375,0.7333333333333333,2.7900870511685116e-4,6,0,Recurrent
asclep_steno.4B,4B,asclep_steno,31,0.97,0.9999999999999999,0.9375,1,0.6035755086858975,2,0,Random
asclep_syria.4B,4B,asclep_syria,31,0.9,4.849363404255556e-4,0.75,0.06666666666666667,NA,3,-1,Decreasing
asclep_tuber.4B,4B,asclep_tuber,31,0.31999999999999995,8.508286324362016e-4,0.625,0,NA,5,-1,Decreasing
asclep_verti.4B,4B,asclep_verti,31,0.52,1.6335193877090986e-4,0.875,0.13333333333333333,NA,3,-1,Decreasing
asclep_virdf.4B,4B,asclep_virdf,31,0.94,0.9999999999999998,0.9375,0.9333333333333333,0.6704940806325976,4,0,Random
asclep_virds.4B,4B,asclep_virds,31,0.84,0.02379624189979081,0.5,0.06666666666666667,NA,7,-1,Decreasing
astrag_crass.4B,4B,astrag_crass,31,0.6799999999999999,1.6335193877090986e-4,0.875,0.13333333333333333,NA,7,-1,Decreasing
baptis_austr.4B,4B,baptis_austr,31,1,0.005769340530798479,0.6875,0.13333333333333333,NA,11,-1,Decreasing
boutel_curti.4B,4B,boutel_curti,31,1,0.9999999999999997,0.6875,0.7333333333333333,2.582679536782227e-4,5,0,Recurrent
boutel_hirsu.4B,4B,boutel_hirsu,31,0.16000000000000003,0.0607219234556129,0.3125,0,1.371221887965171e-7,1,0,Recurrent
bricke_eupat.4B,4B,bricke_eupat,31,1,2.918006686601915e-4,0.6875,0,NA,5,-1,Decreasing
callir_invol.4B,4B,callir_invol,31,0.09999999999999998,NA,NA,NA,NA,5,NA,Rare
carex_brevi.4B,4B,carex_brevi,31,0.9,0.24735482306428383,0.8125,1,6.487325970637214e-5,2,0,Recurrent
carex_gravi.4B,4B,carex_gravi,31,0.74,0.05148761028667245,0.5625,0.9333333333333333,0.002322345759658203,6,0,Recurrent
carex_inops.4B,4B,carex_inops,31,0.94,0.9999999999999997,0.4375,0.4,1.54759813706146e-5,4,0,Recurrent
carex_meadi.4B,4B,carex_meadi,31,0.97,0.0607219234556129,0.3125,0,0.04834969544775515,6,0,Recurrent
ceanot_herba.4B,4B,ceanot_herba,31,1,0.4938029646320821,0.125,0,0.6704940806325976,4,0,Random
celtis_occid.4B,4B,celtis_occid,31,0.06000000000000005,NA,NA,NA,NA,3,NA,Rare
chenop_album.4B,4B,chenop_album,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
cirsiu_altis.4B,4B,cirsiu_altis,31,0.97,0.01307691769989149,0.4375,0,NA,4,-1,Decreasing
cirsiu_undul.4B,4B,cirsiu_undul,31,1,0.028802456421696293,0.375,0,NA,4,-1,Decreasing
comand_umbel.4B,4B,comand_umbel,31,0.94,0.005769340530798479,0.6875,0.13333333333333333,NA,8,-1,Decreasing
cornus_drumm.4B,4B,cornus_drumm,31,1,2.918006686601915e-4,0.3125,1,NA,3,1,Increasing
cyperu_lupul.4B,4B,cyperu_lupul,31,0.42000000000000004,0.5648742938932729,0.5,0.3333333333333333,0.3402466398459586,14,0,Random
dalea_candi.4B,4B,dalea_candi,31,0.97,0.9999999999999998,0.0625,0.06666666666666667,0.10227869721951265,3,0,Random
dalea_purpu.4B,4B,dalea_purpu,31,1,NA,NA,NA,NA,0,NA,Invariant
delphi_carol.4B,4B,delphi_carol,31,0.5800000000000001,0.019402368747087714,0.8125,0.3333333333333333,NA,9,-1,Decreasing
descur_pinna.4B,4B,descur_pinna,31,0.13,0.12381749876088588,0.25,0,0.510929583565928,7,0,Random
desmod_illin.4B,4B,desmod_illin,31,0.9,0.007129770985317564,0.8125,0.26666666666666666,NA,10,-1,Decreasing
dichan_oligo.4B,4B,dichan_oligo,31,1,0.19225130462178386,0.5625,0.26666666666666666,0.0038548663576638852,8,0,Recurrent
echina_angus.4B,4B,echina_angus,31,0.74,0.03082268374448432,0.9375,0.5333333333333333,NA,7,-1,Decreasing
elymus_canad.4B,4B,elymus_canad,31,0.94,0.43618286861823546,1,0.8666666666666667,0.6704940806325976,4,0,Random
eragro_spect.4B,4B,eragro_spect,31,0.84,0.2909855017348392,0.9375,0.7333333333333333,0.1672182308522738,7,0,Random
eriger_strig.4B,4B,eriger_strig,31,0.71,0.012764441573415098,0.9375,0.4666666666666667,NA,6,-1,Decreasing
eupato_altis.4B,4B,eupato_altis,31,0.97,0.14193493503497973,0.4375,0.13333333333333333,0.0049570404947700255,7,0,Recurrent
euphor_missu.4B,4B,euphor_missu,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
euphor_spath.4B,4B,euphor_spath,31,0.48,0.2061056896922602,0.625,0.3333333333333333,0.18181665042692735,13,0,Random
galium_apari.4B,4B,galium_apari,31,0.22999999999999998,0.4457475743700233,0.3125,0.13333333333333333,0.02087276352945389,7,0,Recurrent
gledit_triac.4B,4B,gledit_triac,31,0.84,0.001030537674362584,0,0.6,NA,5,1,Increasing
hierac_longi.4B,4B,hierac_longi,31,0.35,2.918006686601915e-4,0.6875,0,NA,1,-1,Decreasing
koeler_macra.4B,4B,koeler_macra,31,1,0.9999999999999999,0.0625,0,0.6035755086858975,2,0,Random
lactuc_serri.4B,4B,lactuc_serri,31,0.22999999999999998,0.01307691769989149,0.4375,0,NA,5,-1,Decreasing
lepidi_densi.4B,4B,lepidi_densi,31,0.18999999999999995,0.028802456421696293,0.375,0,NA,7,-1,Decreasing
lesped_capit.4B,4B,lesped_capit,31,1,0.028802456421696293,0.375,0,NA,1,-1,Decreasing
lesped_viola.4B,4B,lesped_viola,31,1,1,0.625,0.6666666666666666,2.2518255690973833e-5,4,0,Recurrent
linum_sulca.4B,4B,linum_sulca,31,0.77,0.9226879138461672,0.8125,0.7333333333333333,0.7310353554048772,12,0,Random
lomati_foeni.4B,4B,lomati_foeni,31,0.87,0.0607219234556129,0.3125,0,8.89012572017322e-5,3,0,Recurrent
mimosa_quadr.4B,4B,mimosa_quadr,31,1,0.36455732638706395,0.8125,0.6,0.36476061845825736,12,0,Random
muhlen_cuspi.4B,4B,muhlen_cuspi,31,0.84,0.01307691769989149,0.4375,0,NA,3,-1,Decreasing
oenoth_bienn.4B,4B,oenoth_bienn,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
oenoth_macro.4B,4B,oenoth_macro,31,0.31999999999999995,8.508286324362016e-4,0.625,0,NA,7,-1,Decreasing
oxalis_stric.4B,4B,oxalis_stric,31,0.61,0.21144981550278782,0.75,0.4666666666666667,0.001471672169274707,7,0,Recurrent
oxalis_viola.4B,4B,oxalis_viola,31,0.48,0.0068781768234081634,0.75,0.2,NA,9,-1,Decreasing
packer_platt.4B,4B,packer_platt,31,0.74,0.03082268374448432,0.9375,0.5333333333333333,NA,10,-1,Decreasing
panicu_capil.4B,4B,panicu_capil,31,0.09999999999999998,NA,NA,NA,NA,5,NA,Rare
panicu_virga.4B,4B,panicu_virga,31,1,0.87862332033474,0.375,0.4666666666666667,3.1840052171206096e-4,6,0,Recurrent
pediom_argop.4B,4B,pediom_argop,31,0.65,1.0065448155418538e-4,1,0.26666666666666666,NA,3,-1,Decreasing
pediom_escul.4B,4B,pediom_escul,31,0.97,0.12381749876088588,0.25,0,0.2055398893616577,6,0,Random
pediom_tenui.4B,4B,pediom_tenui,31,0.97,3.457576538813301e-5,0.875,0.06666666666666667,NA,7,-1,Decreasing
physal_pumil.4B,4B,physal_pumil,31,1,0.2601470231694908,0.375,0.13333333333333333,0.009423484253754045,7,0,Recurrent
poa_prate.4B,4B,poa_prate,31,1,1,0.25,0.26666666666666666,0.524803430044251,12,0,Random
prunus_ameri.4B,4B,prunus_ameri,31,1,0.014700550967152358,0.625,0.13333333333333333,NA,11,-1,Decreasing
ratibi_colum.4B,4B,ratibi_colum,31,0.9,0.9530952817995972,0.9375,0.8666666666666667,0.7421078985573584,6,0,Random
rhus_aroma.4B,4B,rhus_aroma,31,0.06000000000000005,NA,NA,NA,NA,3,NA,Rare
rhus_glabr.4B,4B,rhus_glabr,31,1,0.019726940183490724,0.75,0.26666666666666666,NA,10,-1,Decreasing
rosa_arkan.4B,4B,rosa_arkan,31,1,0.4457475743700233,0.3125,0.13333333333333333,0.06607865080611015,8,0,Random
ruelli_humil.4B,4B,ruelli_humil,31,1,NA,NA,NA,NA,0,NA,Invariant
salvia_azure.4B,4B,salvia_azure,31,1,3.457576538813301e-5,0.875,0.06666666666666667,NA,3,-1,Decreasing
schiza_scopa.4B,4B,schiza_scopa,31,1,0.9999999999999996,0.125,0.06666666666666667,0.7421078985573584,6,0,Random
silene_antir.4B,4B,silene_antir,31,0.42000000000000004,0.5648742938932729,0.5,0.3333333333333333,0.7625647494075237,17,0,Random
sisyri_campe.4B,4B,sisyri_campe,31,0.61,0.21144981550278782,0.75,0.4666666666666667,0.14798549711475695,12,0,Random
solida_altis.4B,4B,solida_altis,31,1,5.8669510429744606e-6,0.875,0,NA,5,-1,Decreasing
solida_misso.4B,4B,solida_misso,31,1,0.04204028171591283,1,0.6666666666666666,NA,6,-1,Decreasing
solida_rigid.4B,4B,solida_rigid,31,0.81,0.019726940183490724,0.75,0.26666666666666666,NA,9,-1,Decreasing
sonchu_asper.4B,4B,sonchu_asper,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
sorgha_nutan.4B,4B,sorgha_nutan,31,1,0.4938029646320821,0.875,1,0.001447721282176437,2,0,Recurrent
spermo_inerm.4B,4B,spermo_inerm,31,0.39,0.8211111546026745,0.4375,0.3333333333333333,0.6906425888539952,16,0,Random
spiran_verna.4B,4B,spiran_verna,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
sporob_compo.4B,4B,sporob_compo,31,1,6.219543127899331e-4,0.8125,0.13333333333333333,NA,7,-1,Decreasing
sporob_crypt.4B,4B,sporob_crypt,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
sporob_heter.4B,4B,sporob_heter,31,1,0.018164489689699026,1,0.6,NA,3,-1,Decreasing
sympho_orbic.4B,4B,sympho_orbic,31,1,0.10193077872193111,0.8125,0.4666666666666667,0.001993189677654741,7,0,Recurrent
symphy_erico.4B,4B,symphy_erico,31,1,0.010261748444302629,0.5625,0.06666666666666667,NA,7,-1,Decreasing
symphy_oblon.4B,4B,symphy_oblon,31,1,1,0.5,0.4666666666666667,6.292929253620154e-5,5,0,Recurrent
symphy_seric.4B,4B,symphy_seric,31,1,0.005627304907732369,0.5,0,NA,4,-1,Decreasing
tragia_beton.4B,4B,tragia_beton,31,1,0.24735482306428383,0.1875,0,6.487325970637214e-5,2,0,Recurrent
tragop_dubiu.4B,4B,tragop_dubiu,31,0.18999999999999995,0.20178086785522442,0.3125,0.06666666666666667,0.05476579991427084,7,0,Random
trioda_perfo.4B,4B,trioda_perfo,31,0.48,0.2061056896922602,0.625,0.3333333333333333,0.7103873889477217,17,0,Random
ulmus_ameri.4B,4B,ulmus_ameri,31,0.42000000000000004,0.0021691433174929574,0.125,0.7333333333333333,NA,4,1,Increasing
vernon_baldw.4B,4B,vernon_baldw,31,1,0.0607219234556129,0.3125,0,4.4051415956993966e-6,2,0,Recurrent
viola_bicol.4B,4B,viola_bicol,31,0.31999999999999995,0.010261748444302629,0.5625,0.06666666666666667,NA,11,-1,Decreasing
viola_pedat.4B,4B,viola_pedat,31,0.55,6.427402391033742e-4,0.875,0.2,NA,9,-1,Decreasing
vulpia_octof.4B,4B,vulpia_octof,31,0.31999999999999995,0.794548815675884,0.375,0.26666666666666666,0.40890539535182613,13,0,Random
achill_mille.N1B,N1B,achill_mille,31,1,0.9999999999999999,0.0625,0,0.6035755086858975,2,0,Random
agalin_asper.N1B,N1B,agalin_asper,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
ambros_psilo.N1B,N1B,ambros_psilo,31,1,0.5648742938932729,0.5,0.3333333333333333,0.02783482359317869,10,0,Recurrent
amorph_canes.N1B,N1B,amorph_canes,31,1,0.028802456421696293,0.375,0,NA,2,-1,Decreasing
androp_gerar.N1B,N1B,androp_gerar,31,1,6.427402391033742e-4,0.875,0.2,NA,6,-1,Decreasing
andros_occid.N1B,N1B,andros_occid,31,0.26,0.03082268374448432,0.0625,0.4666666666666667,NA,8,1,Increasing
antenn_negle.N1B,N1B,antenn_negle,31,1,0.8430306226434657,0.5,0.6,0.024103603129656936,10,0,Recurrent
argemo_polya.N1B,N1B,argemo_polya,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
artemi_ludov.N1B,N1B,artemi_ludov,31,1,0.5856318386342959,0.4375,0.6,2.6151153902856627e-4,6,0,Recurrent
asclep_steno.N1B,N1B,asclep_steno,31,0.44999999999999996,0.8430306226434657,0.5,0.4,0.5940658678791524,16,0,Random
asclep_syria.N1B,N1B,asclep_syria,31,0.55,0.21263539028863307,0.6875,0.4,0.30859572413020586,14,0,Random
asclep_tuber.N1B,N1B,asclep_tuber,31,0.39,0.33506173744419815,0.5,0.26666666666666666,0.013825547448709034,9,0,Recurrent
asclep_verti.N1B,N1B,asclep_verti,31,1,0.24735482306428383,0.1875,0,3.7850061085042235e-7,1,0,Recurrent
asclep_virdf.N1B,N1B,asclep_virdf,31,0.9,0.20250799155863133,1,0.8,6.487325970637214e-5,2,0,Recurrent
asclep_virds.N1B,N1B,asclep_virds,31,1,0.0014853753815634292,0.6875,0.06666666666666667,NA,7,-1,Decreasing
astrag_crass.N1B,N1B,astrag_crass,31,0.81,0.36455732638706395,0.1875,0.4,2.582679536782227e-4,5,0,Recurrent
baptis_austr.N1B,N1B,baptis_austr,31,1,0.5856318386342959,0.5625,0.4,0.18181665042692735,13,0,Random
baptis_bract.N1B,N1B,baptis_bract,31,1,0.14193493503497973,0.5625,0.8666666666666667,0.001241434005125989,6,0,Recurrent
boutel_curti.N1B,N1B,boutel_curti,31,1,0.9999999999999997,0.6875,0.6666666666666666,0.009884131621000238,8,0,Recurrent
boutel_graci.N1B,N1B,boutel_graci,31,1,0.10478287613147351,0.625,0.9333333333333333,0.005137313835460302,6,0,Recurrent
boutel_hirsu.N1B,N1B,boutel_hirsu,31,1,0.0068781768234081634,0.25,0.8,NA,4,1,Increasing
bricke_eupat.N1B,N1B,bricke_eupat,31,1,0.12381749876088588,0.25,0,1.9998841638841e-7,1,0,Recurrent
bromus_inerm.N1B,N1B,bromus_inerm,31,0.5800000000000001,0.37829294350114534,0.6875,0.4666666666666667,0.011037686739147493,9,0,Recurrent
callir_invol.N1B,N1B,callir_invol,31,1,0.640592006524916,0.1875,0.06666666666666667,0.005854677406542337,4,0,Recurrent
carex_brevi.N1B,N1B,carex_brevi,31,0.9,0.004087560306914374,0.625,0.06666666666666667,NA,2,-1,Decreasing
carex_gravi.N1B,N1B,carex_gravi,31,0.9,0.24735482306428383,0.8125,1,6.487325970637214e-5,2,0,Recurrent
carex_inops.N1B,N1B,carex_inops,31,0.84,0.5648742938932729,0.5,0.6666666666666666,0.0011829699173814081,7,0,Recurrent
carex_meadi.N1B,N1B,carex_meadi,31,0.94,0.4938029646320821,0.875,1,0.001447721282176437,2,0,Recurrent
ceanot_herba.N1B,N1B,ceanot_herba,31,1,0.9999999999999999,0.0625,0,7.007977131478214e-5,1,0,Recurrent
cirsiu_altis.N1B,N1B,cirsiu_altis,31,0.29000000000000004,0.02379624189979081,0.5,0.06666666666666667,NA,5,-1,Decreasing
cirsiu_undul.N1B,N1B,cirsiu_undul,31,1,0.9738274065893568,0,0.06666666666666667,0.6035755086858975,2,0,Random
comand_umbel.N1B,N1B,comand_umbel,31,0.97,0.01307691769989149,0.4375,0,NA,1,-1,Decreasing
conyza_canad.N1B,N1B,conyza_canad,31,0.87,0.640592006524916,0.8125,0.9333333333333333,0.8097008933768095,8,0,Random
croton_monan.N1B,N1B,croton_monan,31,0.74,0.2601470231694908,0.625,0.8666666666666667,0.1835045895181674,10,0,Random
dalea_candi.N1B,N1B,dalea_candi,31,1,NA,NA,NA,NA,0,NA,Invariant
dalea_purpu.N1B,N1B,dalea_purpu,31,1,0.12381749876088588,0.25,0,0.047322364103480605,5,0,Recurrent
delphi_carol.N1B,N1B,delphi_carol,31,0.84,0.937189201292317,0.875,0.8,0.8691420224364163,10,0,Random
descur_pinna.N1B,N1B,descur_pinna,31,0.09999999999999998,NA,NA,NA,NA,5,NA,Rare
desmod_illin.N1B,N1B,desmod_illin,31,0.39,0.21144981550278782,0.25,0.5333333333333333,0.03464647108891813,10,0,Recurrent
dichan_oligo.N1B,N1B,dichan_oligo,31,1,0.36899585542689983,0.25,0.06666666666666667,8.89012572017322e-5,3,0,Recurrent
dichan_ovale.N1B,N1B,dichan_ovale,31,0.44999999999999996,0.007129770985317564,0.1875,0.7333333333333333,NA,8,1,Increasing
draba_cunei.N1B,N1B,draba_cunei,31,0.13,0.5450438219949827,0.0625,0.2,0.510929583565928,7,0,Random
eragro_spect.N1B,N1B,eragro_spect,31,1,0.24735482306428383,0.1875,0,0.003387153153070865,3,0,Recurrent
euphor_margi.N1B,N1B,euphor_margi,31,0.97,0.9999999999999999,0.9375,1,0.6035755086858975,2,0,Random
euphor_serpe.N1B,N1B,euphor_serpe,31,0.5800000000000001,0.1075338678513425,0.75,0.4,0.011037686739147493,9,0,Recurrent
euphor_spath.N1B,N1B,euphor_spath,31,0.87,0.640592006524916,0.8125,0.9333333333333333,0.8097008933768095,8,0,Random
galium_apari.N1B,N1B,galium_apari,31,0.09999999999999998,NA,NA,NA,NA,5,NA,Rare
gerani_carol.N1B,N1B,gerani_carol,31,0.26,0.05148761028667245,0.4375,0.06666666666666667,0.1835045895181674,10,0,Random
glandu_bipin.N1B,N1B,glandu_bipin,31,0.13,0.5450438219949827,0.0625,0.2,0.2055398893616577,6,0,Random
hybant_verti.N1B,N1B,hybant_verti,31,0.42000000000000004,0.1075338678513425,0.25,0.6,0.0038548663576638852,8,0,Recurrent
hymeno_scabi.N1B,N1B,hymeno_scabi,31,1,0.4938029646320821,0.125,0,0.001447721282176437,2,0,Recurrent
koeler_macra.N1B,N1B,koeler_macra,31,1,0.9999999999999998,0.0625,0.06666666666666667,0.10227869721951265,3,0,Random
lactuc_serri.N1B,N1B,lactuc_serri,31,0.13,0.12381749876088588,0.25,0,0.047322364103480605,5,0,Recurrent
lepidi_densi.N1B,N1B,lepidi_densi,31,1,NA,NA,NA,NA,0,NA,Invariant
lesped_capit.N1B,N1B,lesped_capit,31,1,0.0607219234556129,0.3125,0,0.39382529300283187,8,0,Random
lesped_viola.N1B,N1B,lesped_viola,31,0.65,2.918006686601915e-4,0.3125,1,NA,4,1,Increasing
linum_sulca.N1B,N1B,linum_sulca,31,1,NA,NA,NA,NA,0,NA,Invariant
lomati_foeni.N1B,N1B,lomati_foeni,31,1,0.0607219234556129,0.3125,0,0.04834969544775515,6,0,Recurrent
mimosa_quadr.N1B,N1B,mimosa_quadr,31,1,0.7605990847392358,0.3125,0.2,0.3372652476132434,11,0,Random
mirabi_linea.N1B,N1B,mirabi_linea,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
muhlen_cuspi.N1B,N1B,muhlen_cuspi,31,0.18999999999999995,0.20178086785522442,0.3125,0.06666666666666667,0.05476579991427084,7,0,Random
oenoth_bienn.N1B,N1B,oenoth_bienn,31,0.13,0.5450438219949827,0.0625,0.2,0.047322364103480605,5,0,Recurrent
oenoth_macro.N1B,N1B,oenoth_macro,31,0.35,0.10193077872193111,0.1875,0.5333333333333333,0.006587846048527602,8,0,Recurrent
oenoth_speci.N1B,N1B,oenoth_speci,31,0.55,0.04900634866838942,0.75,0.3333333333333333,NA,9,-1,Decreasing
oxalis_stric.N1B,N1B,oxalis_stric,31,0.74,0.0028758670616075917,1,0.4666666666666667,NA,1,-1,Decreasing
oxalis_viola.N1B,N1B,oxalis_viola,31,0.87,0.640592006524916,0.8125,0.9333333333333333,0.2055398893616577,6,0,Random
packer_platt.N1B,N1B,packer_platt,31,1,NA,NA,NA,NA,0,NA,Invariant
panicu_virga.N1B,N1B,panicu_virga,31,1,2.918006686601915e-4,0.6875,0,NA,1,-1,Decreasing
pediom_escul.N1B,N1B,pediom_escul,31,0.97,0.9738274065893568,1,0.9333333333333333,0.6035755086858975,2,0,Random
physal_pumil.N1B,N1B,physal_pumil,31,1,0.12381749876088588,0.25,0,1.9998841638841e-7,1,0,Recurrent
poa_prate.N1B,N1B,poa_prate,31,1,0.05148761028667245,0.4375,0.06666666666666667,0.08314230445910545,9,0,Random
ratibi_colum.N1B,N1B,ratibi_colum,31,1,0.9999999999999999,0.0625,0,0.6035755086858975,2,0,Random
rhus_glabr.N1B,N1B,rhus_glabr,31,1,0.17099051982691332,0.5,0.8,0.001993189677654741,7,0,Recurrent
