"","species.watershed","Watershed_name","AOU_code","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"250","YBCU.20B","20B","YBCU",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1
"251","NOHA.4A","4A","NOHA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"252","DOWO.4B","4B","DOWO",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"253","HOWR.N1B","N1B","HOWR",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"254","BLJA.N20B","N20B","BLJA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"255","CARW.N20B","N20B","CARW",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"256","DOWO.N20B","N20B","DOWO",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"257","SUTA.N20B","N20B","SUTA",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"258","EAWP.N4B","N4B","EAWP",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"259","HAWO.N4B","N4B","HAWO",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"260","YBCU.N4B","N4B","YBCU",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0
"261","WITU.N4D","N4D","WITU",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"262","YEWA.N4D","N4D","YEWA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"263","ACFL.20B","20B","ACFL",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"264","BARS.4A","4A","BARS",0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1
"265","BLJA.4A","4A","BLJA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"266","AMRO.N1B","N1B","AMRO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44,0,0
"267","BARS.N1B","N1B","BARS",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"268","EATO.N1B","N1B","EATO",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"269","HOLA.N1B","N1B","HOLA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"270","LASP.N1B","N1B","LASP",0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1
"271","EAPH.N20B","N20B","EAPH",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"272","BAOR.N4B","N4B","BAOR",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"273","EATO.N4B","N4B","EATO",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"274","RNEP.N4B","N4B","RNEP",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"275","BGGN.N4D","N4D","BGGN",0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,4,2,3
"276","DOWO.N4D","N4D","DOWO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"277","SUTA.N4D","N4D","SUTA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"278","BCCH.20B","20B","BCCH",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"279","DOWO.20B","20B","DOWO",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"280","EUST.20B","20B","EUST",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"281","INBU.20B","20B","INBU",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,3,1
"282","NOCA.20B","20B","NOCA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"283","WAVI.20B","20B","WAVI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"284","CLSW.4A","4A","CLSW",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"285","NOFL.4A","4A","NOFL",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"286","YBCU.4A","4A","YBCU",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"287","BARS.4B","4B","BARS",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0
"288","RLHA.4B","4B","RLHA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"289","TUTI.4B","4B","TUTI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"290","RLHA.N20B","N20B","RLHA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"291","RTHA.N20B","N20B","RTHA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"292","EAPH.N4B","N4B","EAPH",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"293","AMCR.1D","1D","AMCR",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"294","HAWO.4B","4B","HAWO",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"295","LASP.4B","4B","LASP",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"296","COPO.N1B","N1B","COPO",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"297","NOHA.N1B","N1B","NOHA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"298","LASP.N20B","N20B","LASP",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"299","WITU.N20B","N20B","WITU",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0
"300","AMRO.N4B","N4B","AMRO",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"301","BLGR.N4B","N4B","BLGR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"302","AMGO.1D","1D","AMGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"303","NRWS.1D","1D","NRWS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"304","EABL.20B","20B","EABL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
"305","LASP.20B","20B","LASP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"306","SPTO.20B","20B","SPTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"307","LALO.N1B","N1B","LALO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"308","EABL.N20B","N20B","EABL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"309","LALO.N20B","N20B","LALO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"310","DEJU.N4B","N4B","DEJU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,31
"311","COPO.N4D","N4D","COPO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"312","SPTO.N4D","N4D","SPTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"313","DEJU.20B","20B","DEJU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"314","NOFL.20B","20B","NOFL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"315","AMRO.4A","4A","AMRO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"316","COGR.4B","4B","COGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"317","COHA.4B","4B","COHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"318","SOSP.N20B","N20B","SOSP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"319","SPTO.N20B","N20B","SPTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"320","INBU.N4B","N4B","INBU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"321","EAPH.N4D","N4D","EAPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"322","HOLA.N4D","N4D","HOLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"323","HOLA.1D","1D","HOLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"324","BLGR.20B","20B","BLGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"325","INBU.4A","4A","INBU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"326","RBWO.N1B","N1B","RBWO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"327","HOLA.N20B","N20B","HOLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"328","STFL.N20B","N20B","STFL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"329","TUVU.N20B","N20B","TUVU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"330","BEWR.N4D","N4D","BEWR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"331","YBCU.1D","1D","YBCU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"332","CLSW.20B","20B","CLSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"333","HAWO.20B","20B","HAWO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"334","AMCR.4A","4A","AMCR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"335","COGR.4A","4A","COGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"336","YEWA.4B","4B","YEWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"337","NOCA.N1B","N1B","NOCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"338","GTGR.N4B","N4B","GTGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"339","CAGO.N4D","N4D","CAGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"340","EAWP.N4D","N4D","EAWP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
