Species.watershed,Watershed_name,Species,numyears,percyears,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,countblocks,trend,classification,group
Campylacantha olivacea.20B,20B,Campylacantha olivacea,19,0.74,0.7876317623840547,0.5,0.3333333333333333,0.2700870617817851,8,4,0,Random,Undetermined
Schistocerca lineata.20B,20B,Schistocerca lineata,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.8127927652624913,6,3,0,Random,Undetermined
Campylacantha olivacea.4B,4B,Campylacantha olivacea,19,0.79,0.48251263663164223,0.6,0.3333333333333333,0.24264404028908473,8,4,0,Random,Undetermined
Melanoplus femurrubrum.4B,4B,Melanoplus femurrubrum,19,0.89,0.9999999999999998,0.4,0.4444444444444444,0.9077772496995501,12,6,0,Random,Undetermined
Melanoplus packardii.4B,4B,Melanoplus packardii,19,0.10999999999999999,0.5029952545024349,0.2,0,0.721732225569599,4,2,0,Random,Undetermined
Mermiria picta.4B,4B,Mermiria picta,19,0.20999999999999996,0.4951462150037915,0.1,0.3333333333333333,0.40856971396847985,6,3,0,Random,Undetermined
Pardalophora haldemani.4B,4B,Pardalophora haldemani,19,0.20999999999999996,0.6564077338807046,0.3,0.1111111111111111,0.40856971396847985,6,3,0,Random,Undetermined
Pseudopomala brachyptera.4B,4B,Pseudopomala brachyptera,19,0.26,0.36486709145911467,0.4,0.1111111111111111,0.1983510727576526,6,3,0,Random,Undetermined
Boopedon gracile.4F,4F,Boopedon gracile,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,2,0,Random,Undetermined
Melanoplus packardii.4F,4F,Melanoplus packardii,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Pseudopomala brachyptera.4F,4F,Pseudopomala brachyptera,19,0.20999999999999996,0.6564077338807046,0.3,0.1111111111111111,0.891250166301767,8,4,0,Random,Undetermined
Boopedon gracile.N1B,N1B,Boopedon gracile,19,0.16000000000000003,0.9207589109365504,0.1,0.2222222222222222,0.8127927652624913,6,3,0,Random,Undetermined
Campylacantha olivacea.N1B,N1B,Campylacantha olivacea,19,0.79,0.48251263663164223,0.6,0.3333333333333333,0.5984056207050737,10,5,0,Random,Undetermined
Hadrotettix trifasciatus.N1B,N1B,Hadrotettix trifasciatus,19,0.20999999999999996,0.9999999999999998,0.2,0.2222222222222222,0.40856971396847985,6,3,0,Random,Undetermined
Arphia xanthoptera.N20B,N20B,Arphia xanthoptera,19,0.47,0.48251263663164223,0.6,0.3333333333333333,0.5984056207050737,10,5,0,Random,Undetermined
Boopedon gracile.N20B,N20B,Boopedon gracile,19,0.20999999999999996,0.4951462150037915,0.1,0.3333333333333333,0.891250166301767,8,4,0,Random,Undetermined
Campylacantha olivacea.N20B,N20B,Campylacantha olivacea,19,0.79,1,0.5,0.4444444444444444,0.24264404028908473,8,4,0,Random,Undetermined
Hippiscus ocelote.N20B,N20B,Hippiscus ocelote,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Melanoplus packardii.N20B,N20B,Melanoplus packardii,19,0.26,1,0.3,0.2222222222222222,0.1983510727576526,6,3,0,Random,Undetermined
Pardalophora haldemani.N20B,N20B,Pardalophora haldemani,19,0.31999999999999995,1,0.3,0.3333333333333333,0.11144380054705988,6,3,0,Random,Undetermined
Pseudopomala brachyptera.N20B,N20B,Pseudopomala brachyptera,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Campylacantha olivacea.N4A,N4A,Campylacantha olivacea,19,0.84,0.48251263663164223,0.6,0.3333333333333333,0.24264404028908473,8,4,0,Random,Undetermined
Pardalophora haldemani.N4A,N4A,Pardalophora haldemani,19,0.37,0.4371307112679661,0.5,0.2222222222222222,0.33394321996291126,8,4,0,Random,Undetermined
Pseudopomala brachyptera.N4A,N4A,Pseudopomala brachyptera,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Arphia xanthoptera.N4D,N4D,Arphia xanthoptera,19,0.53,0.6564077338807046,0.3,0.1111111111111111,0.891250166301767,8,4,0,Random,Undetermined
Campylacantha olivacea.N4D,N4D,Campylacantha olivacea,19,0.79,0.1047008150396407,0.7,0.2222222222222222,0.049998538814996656,6,3,0,Recurrent,Non-directional
Hesperotettix viridis.N4D,N4D,Hesperotettix viridis,19,0.20999999999999996,0.9999999999999998,0.2,0.2222222222222222,0.40856971396847985,6,3,0,Random,Undetermined
Melanoplus differentialis.N4D,N4D,Melanoplus differentialis,19,0.10999999999999999,0.5029952545024349,0.2,0,0.721732225569599,4,2,0,Random,Undetermined
Opeia obscura.N4D,N4D,Opeia obscura,19,0.16000000000000003,0.24581503304262373,0.3,0,0.16183908045350825,4,2,0,Random,Undetermined
Pseudopomala brachyptera.N4D,N4D,Pseudopomala brachyptera,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Schistocerca lineata.N4D,N4D,Schistocerca lineata,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,2,0,Random,Undetermined
Boopedon auriventris.20B,20B,Boopedon auriventris,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,2,0,Random,Undetermined
Eritettix simplex.4B,4B,Eritettix simplex,19,0.20999999999999996,0.4951462150037915,0.1,0.3333333333333333,0.007593885669016174,3,2,0,Recurrent,Non-directional
Campylacantha olivacea.4F,4F,Campylacantha olivacea,19,0.74,1,0.5,0.4444444444444444,0.12073001534261926,7,4,0,Random,Undetermined
Arphia simplex.N20B,N20B,Arphia simplex,19,0.42000000000000004,0.7876317623840547,0.5,0.3333333333333333,0.2700870617817851,8,4,0,Random,Undetermined
Pardalophora apiculata.N4A,N4A,Pardalophora apiculata,19,0.16000000000000003,0.24581503304262373,0.3,0,0.16183908045350825,4,2,0,Random,Undetermined
Eritettix simplex.20B,20B,Eritettix simplex,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Eritettix simplex.N20B,N20B,Eritettix simplex,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Pardalophora haldemani.1D,1D,Pardalophora haldemani,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,2,0,Random,Undetermined
Encoptolophus sordidus.N20B,N20B,Encoptolophus sordidus,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.16183908045350825,4,2,0,Random,Undetermined
Schistocerca lineata.N20B,N20B,Schistocerca lineata,19,0.20999999999999996,0.4951462150037915,0.1,0.3333333333333333,0.40856971396847985,6,3,0,Random,Undetermined
Encoptolophus sordidus.N4A,N4A,Encoptolophus sordidus,19,0.26,1,0.3,0.2222222222222222,0.1983510727576526,6,3,0,Random,Undetermined
Encoptolophus sordidus.1D,1D,Encoptolophus sordidus,19,0.10999999999999999,0.5029952545024349,0.2,0,0.013727685530756891,2,1,0,Clumped,Non-directional
Pardalophora apiculata.1D,1D,Pardalophora apiculata,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Melanoplus sanguinipes.20B,20B,Melanoplus sanguinipes,19,0.20999999999999996,0.9999999999999998,0.2,0.2222222222222222,0.40856971396847985,6,3,0,Random,Undetermined
Pardalophora apiculata.4F,4F,Pardalophora apiculata,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Encoptolophus sordidus.N1B,N1B,Encoptolophus sordidus,19,0.10999999999999999,0.5029952545024349,0.2,0,0.013727685530756891,2,1,0,Clumped,Non-directional
Pardalophora apiculata.N1B,N1B,Pardalophora apiculata,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Pardalophora apiculata.N20B,N20B,Pardalophora apiculata,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Melanoplus differentialis.N4A,N4A,Melanoplus differentialis,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Encoptolophus sordidus.N4D,N4D,Encoptolophus sordidus,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.16183908045350825,4,2,0,Random,Undetermined
Melanoplus angustipennis.N4D,N4D,Melanoplus angustipennis,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Pardalophora apiculata.N4D,N4D,Pardalophora apiculata,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Pardalophora haldemani.20B,20B,Pardalophora haldemani,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,2,0,Random,Undetermined
Paratylotropidia brunneri.N1B,N1B,Paratylotropidia brunneri,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Melanoplus occidentalis.N20B,N20B,Melanoplus occidentalis,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Opeia obscura.N20B,N20B,Opeia obscura,19,0.10999999999999999,0.5029952545024349,0.2,0,0.013727685530756891,2,1,0,Clumped,Non-directional
Paratylotropidia brunneri.N20B,N20B,Paratylotropidia brunneri,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Boopedon gracile.N4A,N4A,Boopedon gracile,19,0.20999999999999996,0.4951462150037915,0.1,0.3333333333333333,0.40856971396847985,6,3,0,Random,Undetermined
Melanoplus angustipennis.N4A,N4A,Melanoplus angustipennis,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Boopedon gracile.N4D,N4D,Boopedon gracile,19,0.20999999999999996,0.4951462150037915,0.1,0.3333333333333333,0.04497557167344744,4,2,0,Recurrent,Non-directional
Brachystola magna.N4D,N4D,Brachystola magna,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Melanoplus packardii.20B,20B,Melanoplus packardii,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,2,0,Random,Undetermined
Opeia obscura.4B,4B,Opeia obscura,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Schistocerca obscura.N1B,N1B,Schistocerca obscura,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,2,0,Random,Undetermined
Arphia simplex.1D,1D,Arphia simplex,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Paratylotropidia brunneri.4B,4B,Paratylotropidia brunneri,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Ageneotettix deorum.4B,4B,Ageneotettix deorum,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Schistocerca lineata.4F,4F,Schistocerca lineata,19,0.10999999999999999,0.40802131594572477,0,0.2222222222222222,0.013727685530756891,2,1,0,Clumped,Non-directional
Boopedon auriventris.N1B,N1B,Boopedon auriventris,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Brachystola magna.N4A,N4A,Brachystola magna,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Schistocerca lineata.N4A,N4A,Schistocerca lineata,19,0.10999999999999999,0.40802131594572477,0,0.2222222222222222,0.721732225569599,4,2,0,Random,Undetermined
Boopedon auriventris.N4D,N4D,Boopedon auriventris,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Melanoplus confusus.1D,1D,Melanoplus confusus,19,0.10999999999999999,0.40802131594572477,0,0.2222222222222222,0.721732225569599,4,2,0,Random,Undetermined
Schistocerca obscura.1D,1D,Schistocerca obscura,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Schistocerca obscura.4F,4F,Schistocerca obscura,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Melanoplus angustipennis.N1B,N1B,Melanoplus angustipennis,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Boopedon nubilum.N4A,N4A,Boopedon nubilum,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Arphia conspersa.4B,4B,Arphia conspersa,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Arphia simplex.4B,4B,Arphia simplex,19,0.10999999999999999,0.40802131594572477,0,0.2222222222222222,0.013727685530756891,2,1,0,Clumped,Non-directional
Schistocerca obscura.4B,4B,Schistocerca obscura,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Schistocerca alutacea.N4A,N4A,Schistocerca alutacea,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Schistocerca obscura.N4A,N4A,Schistocerca obscura,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Eritettix simplex.1D,1D,Eritettix simplex,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Encoptolophus sordidus.4B,4B,Encoptolophus sordidus,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Schistocerca lineata.4B,4B,Schistocerca lineata,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Encoptolophus subgracilis.N4D,N4D,Encoptolophus subgracilis,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Encoptolophus subgracilis.N20B,N20B,Encoptolophus subgracilis,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Boopedon auriventris.N4A,N4A,Boopedon auriventris,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Tettigidea lateralis.N4A,N4A,Tettigidea lateralis,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Xanthippus corallipes.N20B,N20B,Xanthippus corallipes,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Dissosteira carolina.N4A,N4A,Dissosteira carolina,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
