"","Species.watershed","Watershed_name","Species","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"198","Campylacantha olivacea.N4D","N4D","Campylacantha olivacea",0,40,35,21,14,79,75,124,13,24,20,29,19,0,0,0,16,6,3
"199","Hesperotettix viridis.N4D","N4D","Hesperotettix viridis",0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"200","Melanoplus differentialis.N4D","N4D","Melanoplus differentialis",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Opeia obscura.N4D","N4D","Opeia obscura",0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"202","Pseudopomala brachyptera.N4D","N4D","Pseudopomala brachyptera",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","Schistocerca lineata.N4D","N4D","Schistocerca lineata",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"204","Boopedon auriventris.20B","20B","Boopedon auriventris",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"205","Eritettix simplex.4B","4B","Eritettix simplex",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"206","Campylacantha olivacea.4F","4F","Campylacantha olivacea",0,0,7,2,2,23,18,7,4,14,55,3,1,0,0,0,10,20,6
"207","Arphia simplex.N20B","N20B","Arphia simplex",0,0,1,2,1,0,1,1,0,0,3,0,0,0,0,0,1,3,0
"208","Pardalophora apiculata.N4A","N4A","Pardalophora apiculata",0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Eritettix simplex.20B","20B","Eritettix simplex",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","Eritettix simplex.N20B","N20B","Eritettix simplex",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","Pardalophora haldemani.1D","1D","Pardalophora haldemani",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"212","Encoptolophus sordidus.N20B","N20B","Encoptolophus sordidus",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0
"213","Schistocerca lineata.N20B","N20B","Schistocerca lineata",0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0
"214","Encoptolophus sordidus.N4A","N4A","Encoptolophus sordidus",0,0,0,0,5,6,2,0,0,0,0,0,0,0,1,0,3,0,0
"215","Encoptolophus sordidus.1D","1D","Encoptolophus sordidus",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"216","Pardalophora apiculata.1D","1D","Pardalophora apiculata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","Melanoplus sanguinipes.20B","20B","Melanoplus sanguinipes",0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0
"218","Pardalophora apiculata.4F","4F","Pardalophora apiculata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"219","Encoptolophus sordidus.N1B","N1B","Encoptolophus sordidus",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"220","Pardalophora apiculata.N1B","N1B","Pardalophora apiculata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","Pardalophora apiculata.N20B","N20B","Pardalophora apiculata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","Melanoplus differentialis.N4A","N4A","Melanoplus differentialis",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","Encoptolophus sordidus.N4D","N4D","Encoptolophus sordidus",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"224","Melanoplus angustipennis.N4D","N4D","Melanoplus angustipennis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"225","Pardalophora apiculata.N4D","N4D","Pardalophora apiculata",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","Pardalophora haldemani.20B","20B","Pardalophora haldemani",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"227","Paratylotropidia brunneri.N1B","N1B","Paratylotropidia brunneri",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"228","Melanoplus occidentalis.N20B","N20B","Melanoplus occidentalis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"229","Opeia obscura.N20B","N20B","Opeia obscura",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"230","Paratylotropidia brunneri.N20B","N20B","Paratylotropidia brunneri",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"231","Boopedon gracile.N4A","N4A","Boopedon gracile",0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0
"232","Melanoplus angustipennis.N4A","N4A","Melanoplus angustipennis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"233","Boopedon gracile.N4D","N4D","Boopedon gracile",0,0,0,0,0,0,4,0,0,0,0,0,0,8,2,2,0,0,0
"234","Brachystola magna.N4D","N4D","Brachystola magna",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"235","Melanoplus packardii.20B","20B","Melanoplus packardii",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"236","Opeia obscura.4B","4B","Opeia obscura",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"237","Schistocerca obscura.N1B","N1B","Schistocerca obscura",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"238","Arphia simplex.1D","1D","Arphia simplex",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"239","Paratylotropidia brunneri.4B","4B","Paratylotropidia brunneri",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"240","Ageneotettix deorum.4B","4B","Ageneotettix deorum",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"241","Schistocerca lineata.4F","4F","Schistocerca lineata",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"242","Boopedon auriventris.N1B","N1B","Boopedon auriventris",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"243","Brachystola magna.N4A","N4A","Brachystola magna",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"244","Schistocerca lineata.N4A","N4A","Schistocerca lineata",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"245","Boopedon auriventris.N4D","N4D","Boopedon auriventris",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"246","Melanoplus confusus.1D","1D","Melanoplus confusus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"247","Schistocerca obscura.1D","1D","Schistocerca obscura",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"248","Schistocerca obscura.4F","4F","Schistocerca obscura",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"249","Melanoplus angustipennis.N1B","N1B","Melanoplus angustipennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"250","Boopedon nubilum.N4A","N4A","Boopedon nubilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"251","Arphia conspersa.4B","4B","Arphia conspersa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"252","Arphia simplex.4B","4B","Arphia simplex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"253","Schistocerca obscura.4B","4B","Schistocerca obscura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"254","Schistocerca alutacea.N4A","N4A","Schistocerca alutacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"255","Schistocerca obscura.N4A","N4A","Schistocerca obscura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"256","Eritettix simplex.1D","1D","Eritettix simplex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"257","Encoptolophus sordidus.4B","4B","Encoptolophus sordidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"258","Schistocerca lineata.4B","4B","Schistocerca lineata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"259","Encoptolophus subgracilis.N4D","N4D","Encoptolophus subgracilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"260","Encoptolophus subgracilis.N20B","N20B","Encoptolophus subgracilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"261","Boopedon auriventris.N4A","N4A","Boopedon auriventris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"262","Tettigidea lateralis.N4A","N4A","Tettigidea lateralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"263","Xanthippus corallipes.N20B","N20B","Xanthippus corallipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"264","Dissosteira carolina.N4A","N4A","Dissosteira carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
